Statistical profiling result from isolate-0x7f110c000de0-74461-v8.log, (8291 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *resume_ _stream_readable.js:965:17
      1    0.0%    0.0%  LazyCompile: *resOnFinish _http_server.js:756:21
      1    0.0%    0.0%  LazyCompile: *processPromiseRejections internal/process/promises.js:190:34
      1    0.0%    0.0%  LazyCompile: *parseRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/result.js:62:11
      1    0.0%    0.0%  LazyCompile: *once events.js:434:44
      1    0.0%    0.0%  LazyCompile: *onStreamRead internal/stream_base_commons.js:165:22
      1    0.0%    0.0%  LazyCompile: *normalizeString path.js:52:25
      1    0.0%    0.0%  LazyCompile: *listenerCount events.js:582:23
      1    0.0%    0.0%  LazyCompile: *initAsyncResource internal/timers.js:152:27
      1    0.0%    0.0%  LazyCompile: *handleRowDescription /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:73:23
      1    0.0%    0.0%  LazyCompile: *getUser /home/yehor/Gitlab/distributed-communication-system/lib/sessions.js:134:19
      1    0.0%    0.0%  LazyCompile: *get internal/bootstrap/pre_execution.js:310:8
      1    0.0%    0.0%  LazyCompile: *get _stream_duplex.js:92:8
      1    0.0%    0.0%  LazyCompile: *formatProperty internal/util/inspect.js:1681:24
      1    0.0%    0.0%  LazyCompile: *flow _stream_readable.js:989:14
      1    0.0%    0.0%  LazyCompile: *endReadableNT _stream_readable.js:1320:23
      1    0.0%    0.0%  LazyCompile: *checkBounds internal/buffer.js:49:21
      1    0.0%    0.0%  LazyCompile: *callback _stream_writable.js:511:44
      1    0.0%    0.0%  LazyCompile: *afterWriteTick _stream_writable.js:451:24
      1    0.0%    0.0%  LazyCompile: *addQuotes internal/util/inspect.js:449:19
      1    0.0%    0.0%  LazyCompile: *addInt16 /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-writer.js:30:13
      1    0.0%    0.0%  LazyCompile: *Socket.resume net.js:611:35
      1    0.0%    0.0%  LazyCompile: *Socket.read net.js:620:33
      1    0.0%    0.0%  LazyCompile: *OutgoingMessage _http_outgoing.js:85:25
      1    0.0%    0.0%  LazyCompile: *EventEmitter.init events.js:130:29
      1    0.0%    0.0%  LazyCompile: *<anonymous> internal/console/constructor.js:327:10

 [C++]:
   ticks  total  nonlib   name
   3938   47.5%   81.1%  epoll_wait
    306    3.7%    6.3%  __libc_write
    105    1.3%    2.2%  __libc_read
     54    0.7%    1.1%  __GI___writev
     16    0.2%    0.3%  epoll_ctl
     15    0.2%    0.3%  _int_malloc
     13    0.2%    0.3%  __GI___libc_write
      9    0.1%    0.2%  accept4
      8    0.1%    0.2%  __pthread_mutex_unlock_usercnt
      7    0.1%    0.1%  __GI___shutdown
      6    0.1%    0.1%  __GI___libc_malloc
      5    0.1%    0.1%  cfree@GLIBC_2.2.5
      5    0.1%    0.1%  _int_free
      5    0.1%    0.1%  __pthread_cond_signal
      4    0.0%    0.1%  __pthread_cond_timedwait
      4    0.0%    0.1%  __lll_lock_wait
      4    0.0%    0.1%  __GI___pthread_mutex_lock
      3    0.0%    0.1%  __GI___mprotect
      3    0.0%    0.1%  __GI___libc_realloc
      2    0.0%    0.0%  unlink_chunk.isra.0
      2    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      2    0.0%    0.0%  operator new(unsigned long)
      2    0.0%    0.0%  operator delete[](void*)
      2    0.0%    0.0%  operator delete(void*)
      2    0.0%    0.0%  malloc_consolidate
      2    0.0%    0.0%  do_futex_wait.constprop.0
      2    0.0%    0.0%  __GI___pthread_getspecific
      1    0.0%    0.0%  sysmalloc
      1    0.0%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)
      1    0.0%    0.0%  std::ios_base::ios_base()
      1    0.0%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      1    0.0%    0.0%  new_do_write
      1    0.0%    0.0%  fwrite
      1    0.0%    0.0%  _int_realloc
      1    0.0%    0.0%  __pthread_enable_asynccancel
      1    0.0%    0.0%  __pthread_cond_broadcast
      1    0.0%    0.0%  __errno_location
      1    0.0%    0.0%  __clock_gettime
      1    0.0%    0.0%  __GI___mmap
      1    0.0%    0.0%  __GI___madvise

 [Summary]:
   ticks  total  nonlib   name
    310    3.7%    6.4%  JavaScript
   4539   54.7%   93.5%  C++
     61    0.7%    1.3%  GC
   3436   41.4%          Shared libraries
      6    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    306   73.9%    3.7%  __libc_write
     54   13.0%    0.7%  __GI___writev
     11    2.7%    0.1%  __GI___libc_write
      7    1.7%    0.1%  _int_malloc
      5    1.2%    0.1%  __pthread_mutex_unlock_usercnt
      3    0.7%    0.0%  cfree@GLIBC_2.2.5
      2    0.5%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      2    0.5%    0.0%  operator new(unsigned long)
      2    0.5%    0.0%  _int_free
      2    0.5%    0.0%  __lll_lock_wait
      2    0.5%    0.0%  __GI___pthread_mutex_lock
      2    0.5%    0.0%  __GI___mprotect
      2    0.5%    0.0%  __GI___libc_malloc
      1    0.2%    0.0%  unlink_chunk.isra.0
      1    0.2%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)
      1    0.2%    0.0%  std::ios_base::ios_base()
      1    0.2%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      1    0.2%    0.0%  operator delete(void*)
      1    0.2%    0.0%  malloc_consolidate
      1    0.2%    0.0%  fwrite
      1    0.2%    0.0%  _int_realloc
      1    0.2%    0.0%  __pthread_enable_asynccancel
      1    0.2%    0.0%  __pthread_cond_signal
      1    0.2%    0.0%  __errno_location
      1    0.2%    0.0%  __GI___pthread_getspecific
      1    0.2%    0.0%  __GI___madvise
      1    0.2%    0.0%  __GI___libc_realloc

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   3938   47.5%  epoll_wait

   3410   41.1%  /home/yehor/.nvm/versions/node/v14.15.1/bin/node
   1692   49.6%    /home/yehor/.nvm/versions/node/v14.15.1/bin/node
    498   29.4%      LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
    494   99.2%        /home/yehor/.nvm/versions/node/v14.15.1/bin/node
    493   99.8%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
    493  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
    380   22.5%      LazyCompile: ~runInContext vm.js:135:15
    380  100.0%        LazyCompile: ~runScript /home/yehor/Gitlab/distributed-communication-system/lib/app.js:64:12
    380  100.0%          LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
    380  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     93    5.5%      LazyCompile: ~writevGeneric internal/stream_base_commons.js:118:23
     93  100.0%        LazyCompile: ~Socket._writeGeneric net.js:759:42
     93  100.0%          LazyCompile: ~Socket._writev net.js:791:36
     93  100.0%            LazyCompile: ~doWrite _stream_writable.js:367:17
     68    4.0%      LazyCompile: ~_writev internal/worker/io.js:230:10
     67   98.5%        LazyCompile: ~doWrite _stream_writable.js:367:17
     67  100.0%          LazyCompile: ~clearBuffer _stream_writable.js:493:21
     41   61.2%            LazyCompile: *onwrite _stream_writable.js:394:17
     26   38.8%            LazyCompile: ~onwrite _stream_writable.js:394:17
      1    1.5%        LazyCompile: ~Writable._write _stream_writable.js:544:37
      1  100.0%          LazyCompile: *writeOrBuffer _stream_writable.js:334:23
