Statistical profiling result from isolate-0x7fc8a8000de0-14038-v8.log, (29756 ticks, 7 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *matchKnownFields _http_incoming.js:157:26
      1    0.0%    0.0%  LazyCompile: *listenerCount events.js:582:23
      1    0.0%    0.0%  LazyCompile: *int16 /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-reader.js:15:10
      1    0.0%    0.0%  LazyCompile: *insert internal/priority_queue.js:34:9
      1    0.0%    0.0%  LazyCompile: *handlePacket /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/parser.js:93:17
      1    0.0%    0.0%  LazyCompile: *get _stream_writable.js:710:8
      1    0.0%    0.0%  LazyCompile: *get _stream_duplex.js:92:8
      1    0.0%    0.0%  LazyCompile: *formatWithOptionsInternal internal/util/inspect.js:1891:35
      1    0.0%    0.0%  LazyCompile: *formatWithOptions internal/util/inspect.js:1883:27
      1    0.0%    0.0%  LazyCompile: *ensure /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-writer.js:11:11
      1    0.0%    0.0%  LazyCompile: *cstring /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-reader.js:35:12
      1    0.0%    0.0%  LazyCompile: *bind /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/serializer.js:63:14
      1    0.0%    0.0%  LazyCompile: *afterWrite _stream_writable.js:456:20
      1    0.0%    0.0%  LazyCompile: *addCString /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/buffer-writer.js:36:15
      1    0.0%    0.0%  LazyCompile: *Timeout.refresh internal/timers.js:205:37
      1    0.0%    0.0%  LazyCompile: *Timeout internal/timers.js:162:17
      1    0.0%    0.0%  LazyCompile: *Readable.resume _stream_readable.js:944:37
      1    0.0%    0.0%  LazyCompile: *Readable.push _stream_readable.js:222:35
      1    0.0%    0.0%  LazyCompile: *Readable.on _stream_readable.js:857:33
      1    0.0%    0.0%  LazyCompile: *<anonymous> internal/console/constructor.js:327:10
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/yehor/Gitlab/distributed-communication-system/lib/server.js:28:16
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/yehor/Gitlab/distributed-communication-system/lib/server.js:107:27

 [C++]:
   ticks  total  nonlib   name
  25453   85.5%   95.5%  epoll_wait
    569    1.9%    2.1%  __libc_write
     83    0.3%    0.3%  __GI___writev
     62    0.2%    0.2%  __libc_read
     28    0.1%    0.1%  __lll_lock_wait
     19    0.1%    0.1%  __pthread_mutex_unlock_usercnt
     19    0.1%    0.1%  __pthread_cond_signal
     19    0.1%    0.1%  __GI___libc_write
     16    0.1%    0.1%  _int_malloc
     14    0.0%    0.1%  __GI___shutdown
     13    0.0%    0.0%  cfree@GLIBC_2.2.5
     13    0.0%    0.0%  __GI___mprotect
      9    0.0%    0.0%  epoll_ctl
      7    0.0%    0.0%  __GI___libc_malloc
